Sl No.	Scene/Bundle Name	Word 1	Word 2	Word 3	Word 4
1	The Garden	Watering can	Tree	Bee	Grass
2	Farm	Cow	Hen	Hay	Fence
3	Classroom	Blackboard	chalk	Teacher	Student
4	Play Area	Swing	Slide	See saw	Merry go round
5	Rainy Day	Raincoat	Clouds	Umbrella	Puddle
6	Kitchen	Plate	Stove	Spoon	Knife
7	Night Sky	Moon	Star	Sky	Cloud
8	Beach	Sand	Shells	Boat	Fishes
9	Street	Car	Bus	Road	Signal
10	Construction	Brick	Cement	Wall	Ladder
11	Market	Cart	Vegetable stall	Money	Vegetable bag
12	The Clinic	Doctor	Stethoscope	Patient	Injection
13	Space	Planet	Rocket	Astronaut	Star
14	Jewellery box	Gold	Ring	Necklace	Diamond
15	Bakery	Chef	Oven	Bread	Eggs
16	Hiking/ camping	Tent	Map	Compass	Backpack
17	Pencil Box	Pencil	Pen	Eraser	Sharpener
18	Aquarium	Fishes	Aquatic plant/ seaweed	Guppies	Rocks
19	First aid box	Bandaid	Antiseptic liquid	Bandage	Cotton
20	Bathroom	Shower	Soap	Bucket	Mug
21	Magic show	Magic Wand	Rabbit	Hat	Magician
22	Diwali	Rangoli	Lamps	Sweets	Crackers
23	Hair grooming	Comb	Mirror	Mirror	Oil
24	Game play	Dice	Game board	Cards	Pawn
25	Temple	Bell	Incense stick	Lamp	Flowers
26	Prize Ceremony 	Medal	Trophy	Certificate	Flag
27	Birthday	Cake	Candles	Balloons	Gift
28	Art class/ painting	Paint	Paint brush	Palette	Canvas
29	Post office	Envelope	Stamp	Mailbox	Letter
30	Music room	Drum	Guitar	Flute	Keyboard
31	Airport	Airplane	Luggage	Boarding pass	Pilot
32	Sewing kit	Needle	Thread roll	Buttons	Scissors
33	Winter Time	Sweater 	Gloves	Cap	Socks
34	Fishing	Rod	Fish	Boat	Net
35	Stage Performance	Mic	Speaker	Audience	Stage
36	Drying clothes	Cloth clips	Rope	Clothes	Bucket
37	Cleaning	Mop	Broom	Dustpan 	Dust cloth
38	Cricket	Stumps	Bat	Ball	Umpire